Term,Year,Internship Site,Title (if applicable),Location,Latitude,Longitude,Notes (if any),Notes on Location
Summer,2015,Zocalo Permaculture Center,Intern,"Gouldsboro, Maine",44.478412,-68.0383389,,
Spring,2015,Zocab Permaculture Center,Assistant Manager,"Gouldsboro, Maine",,,,
Fall,2011,Zeitpunkt,Designer,"Solothurn, Switzerland",47.31874,7.6698284,,
Fall,2017,Zanzibar Animals Affection Society,Veterinary Assistant,"Zanzibar, Tanzania",-6.201808286,39.19337618,,
Spring,1997,Z Studio Graphic Design,Graphic Artist Inern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer ,2009,YWCA,Intern,"Amelia, Ohio",39.02969003,-84.22028466,,
Winter,2007,Youthlinks,Intern,"Rockland, Maine ",,,,
NA,1976-79,Youth Conservation Core Camp,Camp Counselor,Maine State Parks,,,,
"Summer, Fall",2014,Your Pet's Next Best Friend/Sweet Valley Veterinary Clinic,Veterinary Assistant,"Southwest Harbor, Maine/Hunlock Creek, Pennsylvania",41.2063863,-76.0658738,,"coordinates for Hunlock Creek, PA"
Winter,2019,Yoga to the People ,Yoga Apprentice,"New York, New York",40.741895,-73.989308,,
Summer,1999,YMCA Camp Jordan,Intern,"Ellsworth, Maine",44.5414036,-68.4243047,Not clear if person completed intership review,
Fall,2015,YMCA Camp Erdman,Camp Program Inter,"Honolulu, Hawaii",,,,
Summer,2016,YMCA,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2010,YMCA,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1991,WZZO,Intern,"Allentown, Pennsylvania",,,,
Spring,2019,WWF,Climate and Energy Program Intern,"Thimphu, Bhutan",27.4713546,89.6336729,,
Spring,2004,World-Wide Opportinities on Organic Farms,Organic Farmer,"Asti, Italy",44.8260126,8.2026863,,
Winter,2007,World Wide Employees in Organic Farming,Intern,"Kaikohe, New Zealand  ",,,,
Summer,2002,World Sustainable Hearing Project,Intern,"Corte Madera, California",37.9254806,-122.527475,,
Winter ,2010,World Parrot Trust,Field Assistant,"Llanos de Moxos, Bolivia",-14.9898147,-64.5969274,,
Fall,1994,Woods Hole Laboratory,Intern,"Woods Hole, Masschusetts",41.547974,-70.644571,,
Spring,2022,Woodfords Family Services,Intern,"Brewer, Maine",,,,
NA ,1996-1999,"Wood Boats, Inc.",Intern,"Norwalk, Ct. ",,,,
Winter,1995,Women's Health Center,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring ,2001,Women's Express Inc. ,Editorial Assistant ,"Boston, Massachusetts ",,,,
Winter,1990,Women of Power,Intern,"Cambridge, Massachusetts",,,,
Fall,2015,Wollam Gardens,Flower Farm Intern,"Shenandoah Valley, Virginia ",,,,
Fall,2016,WMUR,Intern,"Weare, New Hampshire",43.094966,-71.73111,,
Winter,2001,Wishing Tree Records,Intern,"Warren, Rhode Island",41.72787805,-71.28266784,,
Summer,1995,Wise Ways Herbals,Intern,"Worthington, Massachusetts",42.3959993,-72.9358345,,
Winter,1994,Wisconsin Department of Natural Resources,Intern,"Madison, Wisconsin",,,,
Summer,2019,"Wisconsin Department of Agriculture, Trade and Consumer Protection",Intern,"Madison, Wisconsin",43.074761,-89.3837613,,
Summer,1985,Windstar Foundation,Intern,"Snowmass, Colorado",,,,
Summer,2005,Windover Art Center,Intern,"Newburgh, Maine",44.7130745,-69.0202338,,
Spring,2013,Willowind Therapeutic Riding Facility,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1996,Willow Pond Farm,Intern,"Sabbatus, Maine",44.109263,-70.116729,,
Summer,2013,Williamstown Theather Festival,Apprentice,"Williamstown, Massachusetts",,,,
Spring,2010,Williams Campaign Committe,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,1987,William F. Dowling Co.,Intern,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Winter,2010,William E. Deters Foundation for Gibbon and Wildlife Conservation Project,Animal Caretaker and Tourist Infromation Assistant,"Prop Pra, Thailand ",7.89059,98.3981,,"Coordinates for Gibbon Rehabilitation Project (internship site), could not find Prop Pra"
Summer,1979,William Drury,Research Assistant,Maine,45.709097,-68.8590201,,
