"Term","Year","Internship.Site","Title..if.applicable.","Location","Latitude","Longitude","Notes..if.any.","Notes.on.Location"
"Summer",2015,"Zocalo Permaculture Center","Intern","Gouldsboro, Maine",44.478412,-68.0383389,NA,NA
"Spring",2015,"Zocab Permaculture Center","Assistant Manager","Gouldsboro, Maine",44.478412,-68.038339,NA,NA
"Fall",2011,"Zeitpunkt","Designer","Solothurn, Switzerland",47.31874,7.6698284,NA,NA
"Fall",2017,"Zanzibar Animals Affection Society","Veterinary Assistant","Zanzibar, Tanzania",-6.201808286,39.19337618,NA,NA
"Spring",1997,"Z Studio Graphic Design","Graphic Artist Inern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Winter",2007,"Youthlinks","Intern","Rockland, Maine",44.387611,-68.203912,NA,NA
"Fall",2014,"Your Pet's Next Best Friend/Sweet Valley Veterinary Clinic","Veterinary Assistant","Southwest Harbor, Maine/Hunlock Creek, Pennsylvania",41.2063863,-76.0658738,NA,"coordinates for Hunlock Creek, PA"
"Winter",2019,"Yoga to the People","Yoga Apprentice","New York, New York",40.741895,-73.989308,NA,NA
"Summer",1999,"YMCA Camp Jordan","Intern","Ellsworth, Maine",44.5414036,-68.4243047,"Not clear if person completed intership review",NA
"Fall",2015,"YMCA Camp Erdman","Camp Program Inter","Honolulu, Hawaii",44.387611,-68.203912,NA,NA
"Summer",2016,"YMCA","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",2010,"YMCA","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Summer",1991,"WZZO","Intern","Allentown, Pennsylvania",44.387611,-68.203912,NA,NA
"Spring",2019,"WWF","Climate and Energy Program Intern","Thimphu, Bhutan",27.4713546,89.6336729,NA,NA
"Spring",2004,"World-Wide Opportinities on Organic Farms","Organic Farmer","Asti, Italy",44.8260126,8.2026863,NA,NA
"Winter",2007,"World Wide Employees in Organic Farming","Intern","Kaikohe, New Zealand",44.387611,-68.203912,NA,NA
"Summer",2002,"World Sustainable Hearing Project","Intern","Corte Madera, California",37.9254806,-122.527475,NA,NA
"Fall",1994,"Woods Hole Laboratory","Intern","Woods Hole, Masschusetts",41.547974,-70.644571,NA,NA
"Spring",2022,"Woodfords Family Services","Intern","Brewer, Maine",44.3106,-69.7795,NA,NA
"Winter",1995,"Women's Health Center","Intern","Bar Harbor, Maine",44.3876378,-68.2043361,NA,NA
"Winter",1990,"Women of Power","Intern","Cambridge, Massachusetts",44.387611,-68.203912,NA,NA
